94	Hair Cutting Tools	536	815	74
281	Dried Fruits & Vegetables	298	803	50
210	Over-Ear Headphones	152	799	62
67	PlayStation 4	241	769	75
201	Networking Products	240	759	58
81	Deli & Prepared Foods	150	748	55
84	Meat & Seafood	282	748	68
124	Skin Care Tools	229	738	63
98	Nail Art & Polish	292	733	71
172	Entryway Furniture	598	733	65
236	Accessories	236	715	70
90	Tools & Accessories	371	713	65
48	Bath	162	708	54
207	Accessories	127	703	56
58	Xbox One	160	701	59
46	Office Furniture & Lighting	382	682	58
52	Video Projectors	497	678	59
205	Accessories	154	677	57
186	Bathroom Accessories	153	660	50
287	Jams, Jellies & Sweet Spreads	146	650	60
87	Toothbrushes & Accessories	556	629	55
275	Breads	153	613	49
93	Hair Masks	213	601	48
156	Baskets, Bins & Containers	178	596	49
297	Condiments & Salad Dressings	126	581	52
43	Heating, Cooling & Air Quality	85	578	38
24	Salon & Spa Equipment	625	570	60
25	Hunting & Fishing	164	562	45
134	Piercing & Tattoo Supplies	365	553	50
296	Ice Cream & Novelties	101	550	37
141	Shooting	153	546	43
191	Pots, Planters & Container Accessories	81	542	40
105	Refillable Containers	120	539	43
159	Dining & Entertaining	191	537	43
68	Wearable Technology	124	527	48
271	Yogurt	89	523	39
47	Health Care	89	516	39
139	Mouthwash	205	502	47
224	Surveillance Video Equipment	114	501	36
276	Pasta & Noodles	81	496	34
226	PlayStation Systems	180	492	46
163	Home Storage Hooks	241	487	48
249	Photo & Video Accessories	123	486	36
137	Foot & Hand Care	104	484	34
135	Denture Care	270	467	31
64	Power Accessories	251	466	41
89	Body	205	465	43
299	Pastries & Bakery	128	463	41
185	Kids' Furniture	233	459	40
164	Kitchen Furniture	425	459	37
244	Power Strips & Surge Protectors	84	453	33
69	GPS, Finders & Accessories	105	440	41
206	Binoculars & Scopes	306	434	44
49	Diet & Sports Nutrition	111	433	39
230	Film Photography	160	427	32
217	Accessories	92	424	38
277	Meals & Entrees	98	422	38
278	Snack Gifts	362	421	45
104	Hair Treatment Oils	120	420	32
177	Racks, Shelves & Drawers	120	413	28
131	Teeth Whitening	130	410	39
88	Sunscreens & Tanning Products	106	395	29
31	Sport Specific Clothing	270	394	36
234	Home Theater	212	389	37
155	Kids' Bedding	102	386	37
251	Television Accessories	91	386	33
227	Compact Radios & Stereos	304	378	34
152	Uniforms, Work & Safety	111	372	32
80	Alcoholic Beverages	185	372	29
237	Turntables & Accessories	196	370	28
196	Televisions	181	368	31
121	Sets & Kits	200	358	37
290	Seafood	142	355	29
111	Makeup Palettes	160	343	32
220	AC Adapters	207	330	29
136	Professional Massage Equipment	442	329	30
258	Bakery & Dessert Gifts	178	316	28
140	Makeup Remover	117	312	29
50	Patio Furniture & Accessories	96	310	31
285	Fruit & Nut Gifts	107	307	18
192	Nutrition Bars & Drinks	81	304	28
113	Orthodontic Supplies	419	299	24
240	Virtual Reality (VR) Headsets	278	292	28
252	Video	89	287	28
195	Projection Screens	394	278	21
187	Cabinets, Racks & Shelves	295	270	27
223	Underwater Photography	249	269	28
200	Bags & Cases	107	265	27
41	Office & School Supplies	104	255	22
116	Children's Dental Care	189	249	25
270	Wine	118	246	16
86	Meat Substitutes	81	224	19
138	Tongue Cleaners	131	217	13
130	Cotton Balls & Swabs	153	205	20
114	Maternity	222	202	9
83	Home Brewing & Winemaking	293	188	17
189	Kitchen & Table Linens	115	178	14
173	Desk Accessories & Workspace Organizers	83	173	17
229	Streaming Media Players	192	163	19
118	Oral Pain Relief	92	154	15
272	Winemaking Ingredients	261	118	10
150	Accessories	299	117	13
30	Fan Shop	345	101	11
282	Coffee & Tea Gifts	112	100	9
33	Sports	80	95	8
148	Clothing	245	87	10
85	Fresh Meal Kits	103	24	4
32	Sports & Outdoor Recreation Accessories	160	13	1
151	Ball Storage	145	1	0
