agent,task_id,composite_v4,composite_score,raw_score_v3,answer_chars,score_file,answer_file
ii-researcher,dr_cross_deep_0004,0.0,0.0,0.2117,5183,scores/ii-researcher__dr_cross_deep_0004_matrix.score.json,answers/ii-researcher__dr_cross_deep_0004_matrix.md
langchain-odr,dr_cross_deep_0004,0.0,0.0,0.205,8014,scores/langchain-odr__dr_cross_deep_0004_matrix.score.json,answers/langchain-odr__dr_cross_deep_0004_matrix.md
ldr,dr_cross_deep_0004,0.0,0.0,0.2183,9750,scores/ldr__dr_cross_deep_0004_matrix.score.json,answers/ldr__dr_cross_deep_0004_matrix.md
opencode,dr_cross_deep_0004,0.0,0.0,0.0667,29,scores/opencode__dr_cross_deep_0004_matrix.score.json,answers/opencode__dr_cross_deep_0004_matrix.md
qx-agents,dr_cross_deep_0004,0.0,0.0,0.0667,497,scores/qx-agents__dr_cross_deep_0004_matrix.score.json,answers/qx-agents__dr_cross_deep_0004_matrix.md
smolagents,dr_cross_deep_0004,0.0,0.0,0.2092,4779,scores/smolagents__dr_cross_deep_0004_matrix.score.json,answers/smolagents__dr_cross_deep_0004_matrix.md
camel-ai,dr_cross_deep_0005,0.0,0.0,0.1317,6185,scores/camel-ai__dr_cross_deep_0005_matrix.score.json,answers/camel-ai__dr_cross_deep_0005_matrix.md
claude-code,dr_cross_deep_0005,0.0,0.0,0.0275,436,scores/claude-code__dr_cross_deep_0005_matrix.score.json,answers/claude-code__dr_cross_deep_0005_matrix.md
deerflow,dr_cross_deep_0005,0.0,0.0,0.1425,11043,scores/deerflow__dr_cross_deep_0005_matrix.score.json,answers/deerflow__dr_cross_deep_0005_matrix.md
flowsearcher-ds,dr_cross_deep_0005,0.0,0.0,0.1433,22977,scores/flowsearcher-ds__dr_cross_deep_0005_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0005_matrix.md
gpt-researcher,dr_cross_deep_0005,0.0,0.0,0.1725,8729,scores/gpt-researcher__dr_cross_deep_0005_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0005_matrix.md
ii-researcher,dr_cross_deep_0005,0.5273,0.0321,0.3955,7535,scores/ii-researcher__dr_cross_deep_0005_matrix.score.json,answers/ii-researcher__dr_cross_deep_0005_matrix.md
langchain-odr,dr_cross_deep_0005,0.0,0.0,0.1758,9266,scores/langchain-odr__dr_cross_deep_0005_matrix.score.json,answers/langchain-odr__dr_cross_deep_0005_matrix.md
ldr,dr_cross_deep_0005,0.0,0.0,0.1133,5162,scores/ldr__dr_cross_deep_0005_matrix.score.json,answers/ldr__dr_cross_deep_0005_matrix.md
opencode,dr_cross_deep_0005,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0005_matrix.score.json,answers/opencode__dr_cross_deep_0005_matrix.md
qx-agents,dr_cross_deep_0005,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0005_matrix.score.json,answers/qx-agents__dr_cross_deep_0005_matrix.md
smolagents,dr_cross_deep_0005,0.0,0.0,0.1167,3720,scores/smolagents__dr_cross_deep_0005_matrix.score.json,answers/smolagents__dr_cross_deep_0005_matrix.md
camel-ai,dr_cross_deep_0006,0.0,0.0,0.0333,14851,scores/camel-ai__dr_cross_deep_0006_matrix.score.json,answers/camel-ai__dr_cross_deep_0006_matrix.md
claude-code,dr_cross_deep_0006,0.0,0.0,0.0975,3176,scores/claude-code__dr_cross_deep_0006_matrix.score.json,answers/claude-code__dr_cross_deep_0006_matrix.md
deerflow,dr_cross_deep_0006,0.4627,0.0,0.4442,9376,scores/deerflow__dr_cross_deep_0006_matrix.score.json,answers/deerflow__dr_cross_deep_0006_matrix.md
flowsearcher-ds,dr_cross_deep_0006,0.0,0.0,0.1617,34319,scores/flowsearcher-ds__dr_cross_deep_0006_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0006_matrix.md
gpt-researcher,dr_cross_deep_0006,0.0,0.0,0.1542,10132,scores/gpt-researcher__dr_cross_deep_0006_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0006_matrix.md
ii-researcher,dr_cross_deep_0006,0.0,0.0,0.1392,7503,scores/ii-researcher__dr_cross_deep_0006_matrix.score.json,answers/ii-researcher__dr_cross_deep_0006_matrix.md
langchain-odr,dr_cross_deep_0006,0.0,0.0,0.1533,9758,scores/langchain-odr__dr_cross_deep_0006_matrix.score.json,answers/langchain-odr__dr_cross_deep_0006_matrix.md
ldr,dr_cross_deep_0006,0.0,0.0,0.0925,4181,scores/ldr__dr_cross_deep_0006_matrix.score.json,answers/ldr__dr_cross_deep_0006_matrix.md
opencode,dr_cross_deep_0006,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0006_matrix.score.json,answers/opencode__dr_cross_deep_0006_matrix.md
qx-agents,dr_cross_deep_0006,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0006_matrix.score.json,answers/qx-agents__dr_cross_deep_0006_matrix.md
smolagents,dr_cross_deep_0006,0.0,0.0,0.1092,3807,scores/smolagents__dr_cross_deep_0006_matrix.score.json,answers/smolagents__dr_cross_deep_0006_matrix.md
claude-code,dr_cross_deep_0007,0.0,0.0,0.02,1335,scores/claude-code__dr_cross_deep_0007_matrix.score.json,answers/claude-code__dr_cross_deep_0007_matrix.md
deerflow,dr_cross_deep_0007,0.0,0.0,0.1725,14953,scores/deerflow__dr_cross_deep_0007_matrix.score.json,answers/deerflow__dr_cross_deep_0007_matrix.md
flowsearcher-ds,dr_cross_deep_0007,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0007_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0007_matrix.md
gpt-researcher,dr_cross_deep_0007,0.0,0.0,0.1417,9408,scores/gpt-researcher__dr_cross_deep_0007_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0007_matrix.md
ii-researcher,dr_cross_deep_0007,0.4663,0.0333,0.4842,9701,scores/ii-researcher__dr_cross_deep_0007_matrix.score.json,answers/ii-researcher__dr_cross_deep_0007_matrix.md
langchain-odr,dr_cross_deep_0007,0.0,0.0,0.1225,8956,scores/langchain-odr__dr_cross_deep_0007_matrix.score.json,answers/langchain-odr__dr_cross_deep_0007_matrix.md
ldr,dr_cross_deep_0007,0.0,0.0,0.1092,5695,scores/ldr__dr_cross_deep_0007_matrix.score.json,answers/ldr__dr_cross_deep_0007_matrix.md
opencode,dr_cross_deep_0007,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0007_matrix.score.json,answers/opencode__dr_cross_deep_0007_matrix.md
qx-agents,dr_cross_deep_0007,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0007_matrix.score.json,answers/qx-agents__dr_cross_deep_0007_matrix.md
smolagents,dr_cross_deep_0007,0.0,0.0,0.0983,4913,scores/smolagents__dr_cross_deep_0007_matrix.score.json,answers/smolagents__dr_cross_deep_0007_matrix.md
camel-ai,dr_cross_deep_0008,0.0,0.0,0.1533,9824,scores/camel-ai__dr_cross_deep_0008_matrix.score.json,answers/camel-ai__dr_cross_deep_0008_matrix.md
claude-code,dr_cross_deep_0008,0.0,0.0,0.0,270,scores/claude-code__dr_cross_deep_0008_matrix.score.json,answers/claude-code__dr_cross_deep_0008_matrix.md
deerflow,dr_cross_deep_0008,0.23,0.0185,0.3758,9418,scores/deerflow__dr_cross_deep_0008_matrix.score.json,answers/deerflow__dr_cross_deep_0008_matrix.md
flowsearcher-ds,dr_cross_deep_0008,0.0,0.0,0.1917,31724,scores/flowsearcher-ds__dr_cross_deep_0008_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0008_matrix.md
gpt-researcher,dr_cross_deep_0008,0.0,0.0,0.165,8448,scores/gpt-researcher__dr_cross_deep_0008_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0008_matrix.md
ii-researcher,dr_cross_deep_0008,0.5077,0.0,0.4325,5456,scores/ii-researcher__dr_cross_deep_0008_matrix.score.json,answers/ii-researcher__dr_cross_deep_0008_matrix.md
langchain-odr,dr_cross_deep_0008,0.0,0.0,0.135,8313,scores/langchain-odr__dr_cross_deep_0008_matrix.score.json,answers/langchain-odr__dr_cross_deep_0008_matrix.md
ldr,dr_cross_deep_0008,0.0,0.0,0.1208,4266,scores/ldr__dr_cross_deep_0008_matrix.score.json,answers/ldr__dr_cross_deep_0008_matrix.md
opencode,dr_cross_deep_0008,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0008_matrix.score.json,answers/opencode__dr_cross_deep_0008_matrix.md
qx-agents,dr_cross_deep_0008,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0008_matrix.score.json,answers/qx-agents__dr_cross_deep_0008_matrix.md
smolagents,dr_cross_deep_0008,0.0,0.0,0.1092,2651,scores/smolagents__dr_cross_deep_0008_matrix.score.json,answers/smolagents__dr_cross_deep_0008_matrix.md
claude-code,dr_cross_deep_0009,0.0,0.0,0.055,4162,scores/claude-code__dr_cross_deep_0009_matrix.score.json,answers/claude-code__dr_cross_deep_0009_matrix.md
deerflow,dr_cross_deep_0009,0.4038,0.0,0.3557,9493,scores/deerflow__dr_cross_deep_0009_matrix.score.json,answers/deerflow__dr_cross_deep_0009_matrix.md
flowsearcher-ds,dr_cross_deep_0009,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0009_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0009_matrix.md
gpt-researcher,dr_cross_deep_0009,0.0,0.0,0.15,9500,scores/gpt-researcher__dr_cross_deep_0009_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0009_matrix.md
ii-researcher,dr_cross_deep_0009,0.4675,0.0,0.395,7850,scores/ii-researcher__dr_cross_deep_0009_matrix.score.json,answers/ii-researcher__dr_cross_deep_0009_matrix.md
langchain-odr,dr_cross_deep_0009,0.0,0.0,0.15,7673,scores/langchain-odr__dr_cross_deep_0009_matrix.score.json,answers/langchain-odr__dr_cross_deep_0009_matrix.md
ldr,dr_cross_deep_0009,0.0,0.0,0.1283,5766,scores/ldr__dr_cross_deep_0009_matrix.score.json,answers/ldr__dr_cross_deep_0009_matrix.md
opencode,dr_cross_deep_0009,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0009_matrix.score.json,answers/opencode__dr_cross_deep_0009_matrix.md
qx-agents,dr_cross_deep_0009,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0009_matrix.score.json,answers/qx-agents__dr_cross_deep_0009_matrix.md
smolagents,dr_cross_deep_0009,0.0,0.0,0.1167,4604,scores/smolagents__dr_cross_deep_0009_matrix.score.json,answers/smolagents__dr_cross_deep_0009_matrix.md
camel-ai,dr_cross_deep_0010,0.0,0.0,0.1608,6156,scores/camel-ai__dr_cross_deep_0010_matrix.score.json,answers/camel-ai__dr_cross_deep_0010_matrix.md
claude-code,dr_cross_deep_0010,0.0,0.0,0.0625,2128,scores/claude-code__dr_cross_deep_0010_matrix.score.json,answers/claude-code__dr_cross_deep_0010_matrix.md
deerflow,dr_cross_deep_0010,0.3658,0.0333,0.3525,9425,scores/deerflow__dr_cross_deep_0010_matrix.score.json,answers/deerflow__dr_cross_deep_0010_matrix.md
flowsearcher-ds,dr_cross_deep_0010,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0010_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0010_matrix.md
gpt-researcher,dr_cross_deep_0010,0.0,0.0,0.1542,12152,scores/gpt-researcher__dr_cross_deep_0010_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0010_matrix.md
ii-researcher,dr_cross_deep_0010,0.0,0.0,0.1167,6274,scores/ii-researcher__dr_cross_deep_0010_matrix.score.json,answers/ii-researcher__dr_cross_deep_0010_matrix.md
langchain-odr,dr_cross_deep_0010,0.0,0.0,0.0708,5500,scores/langchain-odr__dr_cross_deep_0010_matrix.score.json,answers/langchain-odr__dr_cross_deep_0010_matrix.md
ldr,dr_cross_deep_0010,0.0,0.0,0.07,4285,scores/ldr__dr_cross_deep_0010_matrix.score.json,answers/ldr__dr_cross_deep_0010_matrix.md
opencode,dr_cross_deep_0010,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0010_matrix.score.json,answers/opencode__dr_cross_deep_0010_matrix.md
qx-agents,dr_cross_deep_0010,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0010_matrix.score.json,answers/qx-agents__dr_cross_deep_0010_matrix.md
smolagents,dr_cross_deep_0010,0.0,0.0,0.0592,3123,scores/smolagents__dr_cross_deep_0010_matrix.score.json,answers/smolagents__dr_cross_deep_0010_matrix.md
camel-ai,dr_cross_deep_0011,0.0,0.0,0.0883,5036,scores/camel-ai__dr_cross_deep_0011_matrix.score.json,answers/camel-ai__dr_cross_deep_0011_matrix.md
claude-code,dr_cross_deep_0011,0.0,0.0,0.0358,715,scores/claude-code__dr_cross_deep_0011_matrix.score.json,answers/claude-code__dr_cross_deep_0011_matrix.md
deerflow,dr_cross_deep_0011,0.463,0.0333,0.4942,9422,scores/deerflow__dr_cross_deep_0011_matrix.score.json,answers/deerflow__dr_cross_deep_0011_matrix.md
flowsearcher-ds,dr_cross_deep_0011,0.0,0.0,0.175,34993,scores/flowsearcher-ds__dr_cross_deep_0011_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0011_matrix.md
gpt-researcher,dr_cross_deep_0011,0.0,0.0,0.165,8115,scores/gpt-researcher__dr_cross_deep_0011_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0011_matrix.md
ii-researcher,dr_cross_deep_0011,0.0,0.0,0.1425,6317,scores/ii-researcher__dr_cross_deep_0011_matrix.score.json,answers/ii-researcher__dr_cross_deep_0011_matrix.md
langchain-odr,dr_cross_deep_0011,0.0,0.0,0.1683,10439,scores/langchain-odr__dr_cross_deep_0011_matrix.score.json,answers/langchain-odr__dr_cross_deep_0011_matrix.md
ldr,dr_cross_deep_0011,0.0,0.0,0.1092,5596,scores/ldr__dr_cross_deep_0011_matrix.score.json,answers/ldr__dr_cross_deep_0011_matrix.md
opencode,dr_cross_deep_0011,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0011_matrix.score.json,answers/opencode__dr_cross_deep_0011_matrix.md
qx-agents,dr_cross_deep_0011,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0011_matrix.score.json,answers/qx-agents__dr_cross_deep_0011_matrix.md
smolagents,dr_cross_deep_0011,0.0,0.0,0.0858,2381,scores/smolagents__dr_cross_deep_0011_matrix.score.json,answers/smolagents__dr_cross_deep_0011_matrix.md
camel-ai,dr_cross_deep_0012,0.0,0.0,0.1567,8356,scores/camel-ai__dr_cross_deep_0012_matrix.score.json,answers/camel-ai__dr_cross_deep_0012_matrix.md
claude-code,dr_cross_deep_0012,0.0,0.0,0.02,1335,scores/claude-code__dr_cross_deep_0012_matrix.score.json,answers/claude-code__dr_cross_deep_0012_matrix.md
deerflow,dr_cross_deep_0012,0.4297,0.0333,0.45,12167,scores/deerflow__dr_cross_deep_0012_matrix.score.json,answers/deerflow__dr_cross_deep_0012_matrix.md
flowsearcher-ds,dr_cross_deep_0012,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0012_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0012_matrix.md
gpt-researcher,dr_cross_deep_0012,0.0,0.0,0.1608,9312,scores/gpt-researcher__dr_cross_deep_0012_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0012_matrix.md
ii-researcher,dr_cross_deep_0012,0.0,0.0,0.1392,5770,scores/ii-researcher__dr_cross_deep_0012_matrix.score.json,answers/ii-researcher__dr_cross_deep_0012_matrix.md
langchain-odr,dr_cross_deep_0012,0.0,0.0,0.1683,10382,scores/langchain-odr__dr_cross_deep_0012_matrix.score.json,answers/langchain-odr__dr_cross_deep_0012_matrix.md
ldr,dr_cross_deep_0012,0.0,0.0,0.11,2994,scores/ldr__dr_cross_deep_0012_matrix.score.json,answers/ldr__dr_cross_deep_0012_matrix.md
opencode,dr_cross_deep_0012,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0012_matrix.score.json,answers/opencode__dr_cross_deep_0012_matrix.md
qx-agents,dr_cross_deep_0012,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0012_matrix.score.json,answers/qx-agents__dr_cross_deep_0012_matrix.md
smolagents,dr_cross_deep_0012,0.0,0.0,0.1092,3571,scores/smolagents__dr_cross_deep_0012_matrix.score.json,answers/smolagents__dr_cross_deep_0012_matrix.md
camel-ai,dr_cross_deep_0013,0.0,0.0,0.0133,17908,scores/camel-ai__dr_cross_deep_0013_matrix.score.json,answers/camel-ai__dr_cross_deep_0013_matrix.md
claude-code,dr_cross_deep_0013,0.0,0.0,0.02,434,scores/claude-code__dr_cross_deep_0013_matrix.score.json,answers/claude-code__dr_cross_deep_0013_matrix.md
deerflow,dr_cross_deep_0013,0.5039,0.0317,0.5025,12468,scores/deerflow__dr_cross_deep_0013_matrix.score.json,answers/deerflow__dr_cross_deep_0013_matrix.md
flowsearcher-ds,dr_cross_deep_0013,0.0,0.0,0.1917,31214,scores/flowsearcher-ds__dr_cross_deep_0013_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0013_matrix.md
gpt-researcher,dr_cross_deep_0013,0.0,0.0,0.1542,9777,scores/gpt-researcher__dr_cross_deep_0013_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0013_matrix.md
ii-researcher,dr_cross_deep_0013,0.0,0.0,0.1517,8552,scores/ii-researcher__dr_cross_deep_0013_matrix.score.json,answers/ii-researcher__dr_cross_deep_0013_matrix.md
langchain-odr,dr_cross_deep_0013,0.0,0.0,0.2242,44377,scores/langchain-odr__dr_cross_deep_0013_matrix.score.json,answers/langchain-odr__dr_cross_deep_0013_matrix.md
ldr,dr_cross_deep_0013,0.0,0.0,0.1283,4382,scores/ldr__dr_cross_deep_0013_matrix.score.json,answers/ldr__dr_cross_deep_0013_matrix.md
opencode,dr_cross_deep_0013,0.0,0.0,0.01,1381,scores/opencode__dr_cross_deep_0013_matrix.score.json,answers/opencode__dr_cross_deep_0013_matrix.md
qx-agents,dr_cross_deep_0013,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0013_matrix.score.json,answers/qx-agents__dr_cross_deep_0013_matrix.md
smolagents,dr_cross_deep_0013,0.0,0.0,0.1092,3230,scores/smolagents__dr_cross_deep_0013_matrix.score.json,answers/smolagents__dr_cross_deep_0013_matrix.md
camel-ai,dr_cross_deep_0014,0.0,0.0,0.1375,7340,scores/camel-ai__dr_cross_deep_0014_matrix.score.json,answers/camel-ai__dr_cross_deep_0014_matrix.md
claude-code,dr_cross_deep_0014,0.0,0.0,0.02,1335,scores/claude-code__dr_cross_deep_0014_matrix.score.json,answers/claude-code__dr_cross_deep_0014_matrix.md
deerflow,dr_cross_deep_0014,0.4436,0.0,0.4467,6792,scores/deerflow__dr_cross_deep_0014_matrix.score.json,answers/deerflow__dr_cross_deep_0014_matrix.md
flowsearcher-ds,dr_cross_deep_0014,0.6628,0.0328,0.4498,15639,scores/flowsearcher-ds__dr_cross_deep_0014_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0014_matrix.md
gpt-researcher,dr_cross_deep_0014,0.0,0.0,0.13,8116,scores/gpt-researcher__dr_cross_deep_0014_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0014_matrix.md
ii-researcher,dr_cross_deep_0014,0.4492,0.0,0.33,6876,scores/ii-researcher__dr_cross_deep_0014_matrix.score.json,answers/ii-researcher__dr_cross_deep_0014_matrix.md
langchain-odr,dr_cross_deep_0014,0.0,0.0,0.1533,10129,scores/langchain-odr__dr_cross_deep_0014_matrix.score.json,answers/langchain-odr__dr_cross_deep_0014_matrix.md
ldr,dr_cross_deep_0014,0.0,0.0,0.0367,3046,scores/ldr__dr_cross_deep_0014_matrix.score.json,answers/ldr__dr_cross_deep_0014_matrix.md
opencode,dr_cross_deep_0014,0.0,0.0,0.0,29,scores/opencode__dr_cross_deep_0014_matrix.score.json,answers/opencode__dr_cross_deep_0014_matrix.md
qx-agents,dr_cross_deep_0014,0.0,0.0,0.0,497,scores/qx-agents__dr_cross_deep_0014_matrix.score.json,answers/qx-agents__dr_cross_deep_0014_matrix.md
smolagents,dr_cross_deep_0014,0.0,0.0,0.0783,3878,scores/smolagents__dr_cross_deep_0014_matrix.score.json,answers/smolagents__dr_cross_deep_0014_matrix.md
claude-code,dr_cross_deep_0015,0.0,0.0,0.0,94,scores/claude-code__dr_cross_deep_0015_matrix.score.json,answers/claude-code__dr_cross_deep_0015_matrix.md
deerflow,dr_cross_deep_0015,0.415,0.0333,0.4925,11732,scores/deerflow__dr_cross_deep_0015_matrix.score.json,answers/deerflow__dr_cross_deep_0015_matrix.md
flowsearcher-ds,dr_cross_deep_0015,0.0,0.0,0.0,27,scores/flowsearcher-ds__dr_cross_deep_0015_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0015_matrix.md
